"Pokemon","Fast Move","Charged Move","DPS","TDO","ER","CP"
"Shadow Rampardos","Smack Down","Rock Slide","22.474","377.1","45.49","3298"
"Primal Kyogre","Waterfall","Origin Pulse","22.374","1023.8","58.19","5902"
"Primal Groudon","Mud Shot","Precipice Blades","22.358","1023.1","58.15","5902"
"Mega Rayquaza","Dragon Tail","Hurricane","22.324","843.6","55.35","5713"
"Mega Gengar","Shadow Claw","Sludge Bomb","22.318","563.4","50.03","4336"
"Shadow Chandelure","Fire Spin","Shadow Ball","22.236","430.7","46.65","3268"
"Mega Gengar","Lick","Sludge Bomb","22.211","560.8","49.79","4336"
"Mega Mewtwo X","Confusion","Shadow Ball","22.195","765.4","53.79","5429"
"Shadow Salamence","Dragon Tail","Outrage","22.163","541.8","49.28","3749"
"Rayquaza","Air Slash","Dragon Ascent","22.158","648.6","51.54","3835"
"Mega Mewtwo Y","Psycho Cut","Shadow Ball","22.152","763.9","53.68","5610"
"Mega Alakazam","Counter","Psychic","22.145","549.3","49.42","4510"
"Shadow Honchkrow","Snarl","Sky Attack","22.093","361.8","44.44","2711"
"Shadow Gengar","Lick","Shadow Ball","21.925","353.5","43.93","2878"
"Mega Charizard Y","Fire Spin","Blast Burn","21.882","692.9","51.91","4455"
"Mega Gengar","Sucker Punch","Shadow Ball","21.874","552.2","49.03","4336"
"Mega Mewtwo X","Psycho Cut","Focus Blast","21.874","754.3","53.01","5429"
"Shadow Mewtwo","Confusion","Shadow Ball","21.873","570.6","49.43","4178"
"Deoxys (Attack Forme)","Zen Headbutt","Dark Pulse","21.856","140.6","34.81","2580"
"Shadow Gengar","Shadow Claw","Shadow Ball","21.856","352.4","43.8","2878"
"Mega Garchomp","Dragon Tail","Outrage","21.796","910.5","55.41","5424"
"Primal Groudon","Dragon Tail","Precipice Blades","21.792","997.2","56.68","5902"
"Shadow Metagross","Bullet Punch","Meteor Mash","21.763","627","50.42","3791"
"Mega Rayquaza","Air Slash","Breaking Swipe","21.752","822","53.93","5713"
"Calyrex - Shadow Rider","Confusion","Shadow Ball","21.715","692.9","51.61","4540"
"Mega Blaziken","Counter","Blaze Kick","21.698","564.9","49.01","4161"
"Shadow Regigigas","Zen Headbutt","Giga Impact","21.687","666","51.05","4346"
"Deoxys (Attack Forme)","Poison Jab","Dark Pulse","21.686","139.5","34.54","2580"
"Shadow Chandelure","Incinerate","Shadow Ball","21.629","418.9","45.37","3268"
"Mega Mewtwo Y","Confusion","Thunderbolt","21.568","743.8","52.27","5610"
"Shadow Chandelure","Hex","Shadow Ball","21.564","417.6","45.24","3268"
"Shadow Salamence","Dragon Tail","Draco Meteor","21.532","526.4","47.88","3749"
"Mega Charizard Y","Wing Attack","Blast Burn","21.515","681.2","51.04","4455"
"Mega Mewtwo Y","Confusion","Hyper Beam","21.495","741.3","52.09","5610"
"Mega Alakazam","Confusion","Shadow Ball","21.464","532.4","47.9","4510"
"Mega Mewtwo X","Psycho Cut","Shadow Ball","21.453","739.8","51.99","5429"
"Shadow Regigigas","Hidden Power (Fire)","Giga Impact","21.45","658.7","50.49","4346"
"Shadow Regigigas","Hidden Power (Fighting)","Giga Impact","21.45","658.7","50.49","4346"
"Shadow Regigigas","Hidden Power (Water)","Giga Impact","21.45","658.7","50.49","4346"
"Shadow Regigigas","Hidden Power (Flying)","Giga Impact","21.45","658.7","50.49","4346"
"Shadow Regigigas","Hidden Power (Grass)","Giga Impact","21.45","658.7","50.49","4346"
"Shadow Regigigas","Hidden Power (Poison)","Giga Impact","21.45","658.7","50.49","4346"
"Shadow Regigigas","Hidden Power (Electric)","Giga Impact","21.45","658.7","50.49","4346"
"Shadow Regigigas","Hidden Power (Ground)","Giga Impact","21.45","658.7","50.49","4346"
"Shadow Regigigas","Hidden Power (Psychic)","Giga Impact","21.45","658.7","50.49","4346"
"Shadow Regigigas","Hidden Power (Rock)","Giga Impact","21.45","658.7","50.49","4346"
"Shadow Regigigas","Hidden Power (Ice)","Giga Impact","21.45","658.7","50.49","4346"
"Shadow Regigigas","Hidden Power (Bug)","Giga Impact","21.45","658.7","50.49","4346"
"Shadow Regigigas","Hidden Power (Dragon)","Giga Impact","21.45","658.7","50.49","4346"
"Shadow Regigigas","Hidden Power (Ghost)","Giga Impact","21.45","658.7","50.49","4346"
"Shadow Regigigas","Hidden Power (Dark)","Giga Impact","21.45","658.7","50.49","4346"
"Shadow Regigigas","Hidden Power (Steel)","Giga Impact","21.45","658.7","50.49","4346"
"Mega Sceptile","Bullet Seed","Frenzy Plant","21.445","559.4","48.46","4056"
"Shadow Darmanitan","Fire Fang","Overheat","21.361","395.2","44.3","3105"
"Mega Blaziken","Counter","Overheat","21.344","555.7","48.21","4161"
"Mega Alakazam","Confusion","Future Sight","21.327","529","47.6","4510"
"Shadow Blaziken","Counter","Blast Burn","21.278","393.5","44.13","2848"
"Mega Mewtwo Y","Confusion","Focus Blast","21.272","733.6","51.55","5610"
"Mega Gengar","Hex","Sludge Bomb","21.271","537","47.68","4336"
"Mega Blaziken","Fire Spin","Blaze Kick","21.27","553.8","48.05","4161"
"Mega Garchomp","Dragon Tail","Earth Power","21.26","888.1","54.05","5424"
"Shadow Salamence","Fire Fang","Outrage","21.22","518.8","47.19","3749"
"Mega Banette","Shadow Claw","Shadow Ball","21.219","456.1","45.69","3594"
"Shadow Honchkrow","Snarl","Brave Bird","21.217","347.5","42.68","2711"
"Shadow Mewtwo","Psycho Cut","Shadow Ball","21.213","553.4","47.94","4178"
"Shadow Alakazam","Confusion","Psychic","21.197","359.2","43.01","3057"
"Mega Rayquaza","Dragon Tail","Aerial Ace","21.175","800.1","52.5","5713"
"Shadow Metagross","Zen Headbutt","Meteor Mash","21.128","608.7","48.95","3791"
"Shadow Gengar","Hex","Shadow Ball","21.107","340.3","42.3","2878"
"Shadow Moltres","Fire Spin","Sky Attack","21.042","529.5","47.13","3465"
"Galarian Darmanitan (Zen Mode)","Ice Fang","Avalanche","21.009","499","46.38","3905"
"Mega Garchomp","Dragon Tail","Earthquake","20.988","876.8","53.36","5424"
"Primal Kyogre","Waterfall","Surf","20.987","960.4","54.58","5902"
"Shadow Blaziken","Fire Spin","Blast Burn","20.982","388","43.51","2848"
"Mega Mewtwo Y","Confusion","Flamethrower","20.978","723.4","50.84","5610"
"Shadow Rampardos","Smack Down","Outrage","20.974","351.9","42.45","3298"
"Shadow Kyogre","Waterfall","Origin Pulse","20.97","648.3","49.45","4115"
"Shadow Gengar","Shadow Claw","Sludge Bomb","20.965","338","42.01","2878"
"Shadow Staraptor","Quick Attack","Fly","20.963","400.2","43.82","2825"
"Mega Alakazam","Confusion","Return","20.952","519.7","46.76","4510"
"Shadow Groudon","Mud Shot","Precipice Blades","20.948","647.6","49.4","4115"
"Shadow Alakazam","Psycho Cut","Psychic","20.925","354.6","42.46","3057"
"Mewtwo","Confusion","Psystrike","20.918","654.9","49.48","4178"
"Mega Charizard Y","Air Slash","Blast Burn","20.889","661.4","49.55","4455"
"Mewtwo","Psycho Cut","Psystrike","20.884","653.8","49.4","4178"
"Shadow Gengar","Lick","Sludge Bomb","20.884","336.7","41.85","2878"
"Mega Mewtwo X","Confusion","Thunderbolt","20.881","720.1","50.6","5429"
"Shadow Rampardos","Zen Headbutt","Rock Slide","20.861","350","42.22","3298"
"Mega Charizard Y","Ember","Blast Burn","20.855","660.3","49.47","4455"
"Shadow Dragonite","Dragon Tail","Outrage","20.854","575.4","47.8","3792"
"Mega Blaziken","Fire Spin","Overheat","20.849","542.8","47.1","4161"
"Calyrex - Shadow Rider","Confusion","Psychic","20.846","665.2","49.55","4540"
"Ash Greninja","Feint Attack","Surf","20.826","469.3","45.37","3984"
"Shadow Garchomp","Dragon Tail","Outrage","20.826","636.3","48.96","3962"
"Mega Mewtwo X","Confusion","Hyper Beam","20.811","717.7","50.43","5429"
"Mega Latios","Dragon Breath","Psychic","20.808","757.8","51.12","5007"
"Mega Alakazam","Psycho Cut","Shadow Ball","20.748","514.6","46.3","4510"
"Shadow Crawdaunt","Snarl","Crabhammer","20.748","329.7","41.42","2474"
"Shadow Staraptor","Gust","Fly","20.745","396.1","43.36","2825"
"Shadow Tyranitar","Bite","Brutal Swing","20.725","638.6","48.83","3834"
"Mega Blaziken","Counter","Brave Bird","20.718","539.4","46.8","4161"
"Blacephalon","Incinerate","Shadow Ball","20.694","367.5","42.48","3297"
"Mega Mewtwo Y","Confusion","Ice Beam","20.676","713","50.1","5610"
"Shadow Gengar","Sucker Punch","Shadow Ball","20.675","333.3","41.43","2878"
"Ash Greninja","Bubble","Surf","20.672","465.8","45.04","3984"
"Mega Gardevoir","Confusion","Psychic","20.667","643.9","48.83","4512"
"Mega Gallade","Confusion","Psychic","20.663","646.4","48.87","4521"
"Mega Alakazam","Psycho Cut","Future Sight","20.648","512.1","46.08","4510"
"Mega Gengar","Sucker Punch","Sludge Bomb","20.642","521.1","46.27","4336"
"Mega Heracross","Counter","Megahorn","20.624","698.3","49.75","4814"
"Shadow Latios","Dragon Breath","Psychic","20.605","554.5","46.93","3812"
"Shadow Salamence","Bite","Outrage","20.591","503.4","45.79","3749"
"Mega Blaziken","Counter","Focus Blast","20.588","536","46.51","4161"
"Mega Garchomp","Mud Shot","Outrage","20.588","860.1","52.34","5424"
"Shadow Excadrill","Metal Claw","Scorching Sands","20.573","440.3","44.25","3244"
"Mega Alakazam","Counter","Shadow Ball","20.571","510.3","45.91","4510"
"Shadow Moltres","Wing Attack","Sky Attack","20.564","517.4","46.06","3465"
"Shadow Honchkrow","Peck","Sky Attack","20.554","336.6","41.35","2711"
"Shadow Mewtwo","Confusion","Thunderbolt","20.537","535.8","46.41","4178"
"Shadow Excadrill","Mud Slap","Scorching Sands","20.531","439.4","44.16","3244"
"Mega Banette","Hex","Shadow Ball","20.523","441.2","44.19","3594"
"Mega Metagross","Bullet Punch","Meteor Mash","20.506","886.9","52.59","4911"
"Mega Rayquaza","Air Slash","Hurricane","20.498","774.6","50.82","5713"
"Shadow Chandelure","Fire Spin","Overheat","20.486","396.8","42.98","3268"
"Pheromosa","Bug Bite","Bug Buzz","20.468","268.5","38.95","2842"
"Shadow Alakazam","Counter","Psychic","20.446","346.5","41.48","3057"
"Shadow Tyranitar","Smack Down","Brutal Swing","20.432","629.6","48.14","3834"
"Mega Mewtwo Y","Psycho Cut","Thunderbolt","20.429","704.5","49.51","5610"
"Mega Diancie","Rock Throw","Rock Slide","20.42","538.5","46.27","4346"
"Shadow Groudon","Dragon Tail","Precipice Blades","20.416","631.2","48.14","4115"
"Palkia (Origin Forme)","Dragon Tail","Spacial Rend","20.415","687.9","49.19","4142"
"Primal Kyogre","Waterfall","Hydro Pump","20.41","933.9","53.08","5902"
"Shadow Dragonite","Dragon Tail","Draco Meteor","20.404","563","46.76","3792"
"Shadow Staraptor","Wing Attack","Fly","20.385","389.2","42.61","2825"
"Shadow Mamoswine","Mud Slap","Avalanche","20.377","487.6","45.07","3328"
"Kartana","Razor Leaf","Leaf Blade","20.374","428.9","43.64","3677"
"Mega Mewtwo Y","Psycho Cut","Hyper Beam","20.374","702.6","49.37","5610"
"Galarian Darmanitan (Zen Mode)","Tackle","Avalanche","20.365","483.7","44.96","3905"
"Mega Sceptile","Fury Cutter","Leaf Blade","20.357","531","46.01","4056"
"Mega Gardevoir","Charm","Psychic","20.311","632.8","47.99","4512"
"Mega Gallade","Psycho Cut","Psychic","20.31","635.4","48.03","4521"
"Mega Mewtwo X","Confusion","Flamethrower","20.31","700.4","49.22","5429"
"Shadow Dragonite","Dragon Breath","Outrage","20.307","560.3","46.54","3792"
"Mega Tyranitar","Bite","Brutal Swing","20.294","983.6","53.55","5347"
"Shadow Garchomp","Dragon Tail","Earth Power","20.294","620","47.71","3962"
"Shadow Electivire","Thunder Shock","Wild Charge","20.271","409","42.96","3079"
"Black Kyurem","Dragon Tail","Outrage","20.266","724","49.55","4605"
"Mega Swampert","Water Gun","Hydro Cannon","20.258","786.1","50.56","4401"
"Mega Alakazam","Counter","Future Sight","20.247","502.2","45.18","4510"
"Shadow Mewtwo","Confusion","Hyper Beam","20.244","528.2","45.75","4178"
"Mega Latios","Zen Headbutt","Psychic","20.238","737","49.72","5007"
"Aegislash - Blade","Fury Cutter","Shadow Ball","20.237","267.4","38.58","2637"
"Shadow Rampardos","Smack Down","Flamethrower","20.215","339.2","40.91","3298"
"Mega Gardevoir","Confusion","Dazzling Gleam","20.19","629","47.7","4512"
"Mega Charizard Y","Dragon Breath","Blast Burn","20.177","638.9","47.86","4455"
"Mega Charizard Y","Fire Spin","Overheat","20.166","638.5","47.84","4455"
"Shadow Staraptor","Sand Attack","Fly","20.156","384.8","42.13","2825"
"Mega Blaziken","Fire Spin","Brave Bird","20.148","524.5","45.51","4161"
"Mega Alakazam","Confusion","Dazzling Gleam","20.14","499.5","44.94","4510"
"Mega Gengar","Shadow Claw","Psychic","20.134","508.3","45.13","4336"
"Mega Swampert","Mud Shot","Hydro Cannon","20.133","781.3","50.25","4401"
"Shadow Weavile","Snarl","Avalanche","20.089","404.1","42.54","3005"
"Mega Blaziken","Fire Spin","Focus Blast","20.073","522.6","45.34","4161"
"Shadow Salamence","Fire Fang","Draco Meteor","20.069","490.6","44.63","3749"
"Mega Mewtwo Y","Psycho Cut","Focus Blast","20.053","691.5","48.6","5610"
"Shadow Mewtwo","Confusion","Focus Blast","20.04","522.8","45.29","4178"
"Shadow Latios","Zen Headbutt","Psychic","20.034","539.1","45.63","3812"
"Enamorus (Incarnate Forme)","Fairy Wind","Fly","20.026","477.2","44.25","3425"
"Mega Mewtwo X","Confusion","Ice Beam","20.016","690.3","48.51","5429"
"Mega Tyranitar","Smack Down","Brutal Swing","20.007","969.7","52.79","5347"
"Deoxys (Attack Forme)","Zen Headbutt","Zap Cannon","20.005","128.7","31.86","2580"
"Shadow Darmanitan","Incinerate","Overheat","20.002","370.1","41.48","3105"
"Dialga (Origin Forme)","Metal Claw","Roar of Time","19.978","732","49.15","4090"
"Mega Rayquaza","Air Slash","Aerial Ace","19.966","754.5","49.5","5713"
"Shadow Mewtwo","Confusion","Flamethrower","19.957","520.7","45.1","4178"
"Hoopa (Unbound)","Confusion","Psychic","19.952","536.2","45.43","4006"
"Shadow Gengar","Hex","Sludge Bomb","19.947","321.6","39.97","2878"
"Mega Diancie","Rock Throw","Power Gem","19.934","525.7","45.17","4346"
"Blacephalon","Astonish","Shadow Ball","19.928","353.9","40.91","3297"
"Shadow Blaziken","Counter","Blaze Kick","19.925","368.5","41.32","2848"
"Mega Gardevoir","Charm","Dazzling Gleam","19.92","620.6","47.06","4512"
"Mega Garchomp","Mud Shot","Earth Power","19.898","831.3","50.59","5424"
"Xurkitree","Thunder Shock","Discharge","19.884","460.7","43.63","3937"
"Shadow Dragonite","Dragon Tail","Dragon Claw","19.882","548.6","45.57","3792"
"Shadow Kyogre","Waterfall","Surf","19.877","614.5","46.87","4115"
"Mega Salamence","Dragon Tail","Outrage","19.874","847.4","50.79","5031"
"Pheromosa","Low Kick","Bug Buzz","19.872","260.6","37.82","2842"
"Mega Metagross","Zen Headbutt","Meteor Mash","19.871","859.4","50.96","4911"
"Mega Latios","Dragon Breath","Luster Purge","19.87","723.7","48.81","5007"
"Mega Beedrill","Bug Bite","Sludge Bomb","19.86","399.9","42.07","3383"
"Mega Gallade","Low Kick","Psychic","19.852","621","46.95","4521"
"Shadow Darmanitan","Fire Fang","Psychic","19.835","367","41.14","3105"
"Mega Gardevoir","Magical Leaf","Psychic","19.82","617.5","46.83","4512"
"Shadow Garchomp","Dragon Tail","Earthquake","19.812","605.3","46.58","3962"
"Xurkitree","Spark","Discharge","19.794","458.7","43.43","3937"
"Mega Alakazam","Confusion","Focus Blast","19.792","490.9","44.17","4510"
"Shadow Rhyperior","Mud Slap","Rock Wrecker","19.792","624.1","46.9","3733"
"Shadow Excadrill","Mud Shot","Scorching Sands","19.791","423.6","42.57","3244"
"Shadow Sceptile","Fury Cutter","Frenzy Plant","19.79","393.8","41.8","2757"
"Mega Mewtwo X","Psycho Cut","Thunderbolt","19.787","682.4","47.95","5429"
"Mega Gardevoir","Confusion","Synchronoise","19.784","616.4","46.74","4512"
"Blacephalon","Incinerate","Mystical Fire","19.783","351.3","40.61","3297"
"Mega Gallade","Confusion","Synchronoise","19.781","618.8","46.78","4521"
"Mega Salamence","Dragon Tail","Draco Meteor","19.778","843.4","50.54","5031"
"Shadow Garchomp","Mud Shot","Outrage","19.776","604.2","46.49","3962"
"Mega Heracross","Counter","Close Combat","19.763","669.2","47.67","4814"
"Primal Groudon","Dragon Tail","Earthquake","19.755","904","51.38","5902"
"Palkia (Origin Forme)","Dragon Breath","Spacial Rend","19.75","665.5","47.58","4142"
"Mega Mewtwo X","Psycho Cut","Hyper Beam","19.736","680.6","47.83","5429"
"Ash Greninja","Feint Attack","Hydro Pump","19.726","444.5","42.98","3984"
"Mega Alakazam","Counter","Return","19.726","489.3","44.02","4510"
"Mega Beedrill","Poison Jab","Sludge Bomb","19.718","397","41.77","3383"
"Aegislash - Blade","Psycho Cut","Shadow Ball","19.711","260.5","37.58","2637"
"Deoxys (Attack Forme)","Poison Jab","Zap Cannon","19.682","126.6","31.35","2580"
"Shadow Dragonite","Dragon Breath","Draco Meteor","19.669","542.7","45.08","3792"
"Primal Groudon","Mud Shot","Earthquake","19.658","899.5","51.13","5902"
"Shadow Mewtwo","Confusion","Ice Beam","19.657","512.8","44.43","4178"
"Shadow Alakazam","Confusion","Shadow Ball","19.654","333","39.88","3057"
"Shadow Machamp","Counter","Dynamic Punch","19.65","439","42.72","3056"
"Mega Alakazam","Psycho Cut","Return","19.643","487.2","43.84","4510"
"Shadow Chandelure","Fire Spin","Poltergeist","19.64","380.4","41.2","3268"
"Mega Mewtwo Y","Psycho Cut","Flamethrower","19.635","677.1","47.58","5610"
"Mega Gengar","Lick","Psychic","19.634","495.7","44.01","4336"
"Shadow Dragonite","Steel Wing","Outrage","19.614","541.2","44.95","3792"
"Mega Latios","Dragon Breath","Dragon Claw","19.599","713.8","48.15","5007"
"Shadow Chandelure","Incinerate","Overheat","19.589","379.4","41.09","3268"
"Shadow Metagross","Bullet Punch","Psychic","19.586","564.2","45.38","3791"
"Shadow Rampardos","Zen Headbutt","Outrage","19.579","328.5","39.63","3298"
"Mega Sceptile","Bullet Seed","Leaf Blade","19.573","510.6","44.23","4056"
"Shadow Staraptor","Quick Attack","Brave Bird","19.568","373.6","40.9","2825"
"Mega Mewtwo Y","Psycho Cut","Ice Beam","19.547","674.1","47.37","5610"
"Shadow Blaziken","Fire Spin","Blaze Kick","19.541","361.4","40.52","2848"
"Shadow Mewtwo","Psycho Cut","Thunderbolt","19.538","509.7","44.16","4178"
"Mega Charizard Y","Wing Attack","Overheat","19.533","618.5","46.34","4455"
"Shadow Moltres","Fire Spin","Overheat","19.532","491.5","43.75","3465"
"Black Kyurem","Dragon Tail","Blizzard","19.527","697.6","47.74","4605"
"Mega Gardevoir","Charm","Synchronoise","19.525","608.3","46.13","4512"
"Shadow Mamoswine","Powder Snow","Avalanche","19.513","466.9","43.16","3328"
"Shadow Raikou","Thunder Shock","Wild Charge","19.513","526.1","44.46","3452"
"Mewtwo","Confusion","Psychic","19.487","610.1","46.09","4178"
"Shadow Weavile","Snarl","Triple Axel","19.487","392","41.27","3005"
"Shadow Gengar","Sucker Punch","Sludge Bomb","19.486","314.2","39.05","2878"
"Shadow Latios","Dragon Breath","Luster Purge","19.485","524.4","44.38","3812"
"Mega Gengar","Shadow Claw","Focus Blast","19.463","491.4","43.63","4336"
"Mega Gengar","Shadow Claw","Sludge Wave","19.461","491.3","43.62","4336"
"Terrakion","Double Kick","Sacred Sword","19.461","626.2","46.35","3698"
"Deoxys (Attack Forme)","Zen Headbutt","Psycho Boost","19.456","125.2","30.99","2580"
"Shadow Latios","Dragon Breath","Dragon Claw","19.411","522.4","44.21","3812"
"Shadow Empoleon","Metal Claw","Hydro Cannon","19.402","478.1","43.23","2900"
"Shadow Excadrill","Mud Slap","Drill Run","19.398","415.2","41.72","3244"
"Ash Greninja","Bubble","Hydro Pump","19.39","436.9","42.25","3984"
"Mega Gardevoir","Magical Leaf","Dazzling Gleam","19.385","604","45.8","4512"
"Shadow Mamoswine","Mud Slap","High Horsepower","19.372","463.6","42.85","3328"
"Shadow Infernape","Fire Spin","Blast Burn","19.368","368.1","40.44","2683"
"Shadow Zapdos","Thunder Shock","Drill Peck","19.366","497.3","43.59","3527"
"Shadow Rhyperior","Smack Down","Rock Wrecker","19.359","610.5","45.88","3733"
"Shadow Excadrill","Metal Claw","Drill Run","19.356","414.3","41.63","3244"
"Mega Diancie","Rock Throw","Moonblast","19.337","509.9","43.82","4346"
"Deoxys (Attack Forme)","Poison Jab","Psycho Boost","19.334","124.4","30.79","2580"
"Mega Alakazam","Counter","Dazzling Gleam","19.331","479.5","43.14","4510"
"Mega Manectric","Thunder Fang","Wild Charge","19.32","486.4","43.28","3580"
"Shadow Weavile","Feint Attack","Avalanche","19.319","388.6","40.91","3005"
"Shadow Machamp","Karate Chop","Dynamic Punch","19.314","431.5","41.99","3056"
"Reshiram","Fire Fang","Fusion Flare","19.312","666.3","46.8","4038"
"Mega Charizard Y","Fire Spin","Flamethrower","19.303","611.2","45.79","4455"
"Shadow Empoleon","Steel Wing","Hydro Cannon","19.29","475.4","42.98","2900"
"Dialga (Origin Forme)","Dragon Breath","Roar of Time","19.278","706.4","47.43","4090"
"Galarian Darmanitan (Zen Mode)","Ice Fang","Overheat","19.276","457.8","42.55","3905"
"Shadow Salamence","Dragon Tail","Hydro Pump","19.267","471","42.84","3749"
"Shadow Charizard","Fire Spin","Blast Burn","19.253","420.7","41.63","2889"
"Shadow Haunter","Lick","Shadow Ball","19.247","194.2","34.3","1963"
"Mega Alakazam","Psycho Cut","Dazzling Gleam","19.243","477.3","42.94","4510"
"Shadow Chandelure","Hex","Overheat","19.24","372.6","40.36","3268"
"Pheromosa","Bug Bite","Focus Blast","19.233","252.3","36.6","2842"
"Shadow Honchkrow","Peck","Brave Bird","19.222","314.8","38.67","2711"
"Mega Gallade","Psycho Cut","Synchronoise","19.221","601.3","45.46","4521"
"Shadow Dragonite","Dragon Breath","Dragon Claw","19.21","530","44.03","3792"
"Mega Gardevoir","Confusion","Shadow Ball","19.209","598.5","45.38","4512"
"Shadow Mewtwo","Psycho Cut","Hyper Beam","19.205","501","43.4","4178"
"Primal Kyogre","Waterfall","Blizzard","19.203","878.7","49.94","5902"
"Mega Beedrill","Infestation","Sludge Bomb","19.2","386.6","40.67","3383"
"Mewtwo","Psycho Cut","Psychic","19.193","600.9","45.4","4178"
"Shadow Alakazam","Confusion","Future Sight","19.188","325.2","38.93","3057"
"Shadow Raikou","Volt Switch","Wild Charge","19.185","517.2","43.72","3452"
"Shadow Salamence","Bite","Draco Meteor","19.184","469","42.66","3749"
"Shadow Haunter","Shadow Claw","Shadow Ball","19.176","193.5","34.18","1963"
"Shadow Metagross","Zen Headbutt","Psychic","19.175","552.4","44.42","3791"
"Shadow Blaziken","Counter","Overheat","19.161","354.4","39.74","2848"
"Shadow Excadrill","Metal Claw","Earthquake","19.153","409.9","41.2","3244"
"Shadow Crawdaunt","Waterfall","Crabhammer","19.147","304.2","38.23","2474"
"Shadow Tyranitar","Iron Tail","Brutal Swing","19.141","589.8","45.1","3834"
"Black Kyurem","Shadow Claw","Outrage","19.14","683.8","46.79","4605"
"Xurkitree","Thunder Shock","Power Whip","19.133","443.4","41.98","3937"
"Shadow Kyogre","Waterfall","Hydro Pump","19.122","591.2","45.09","4115"
"Shadow Staraptor","Gust","Brave Bird","19.113","364.9","39.95","2825"
"Shadow Dragonite","Dragon Tail","Hurricane","19.106","527.2","43.79","3792"
"Shadow Alakazam","Psycho Cut","Shadow Ball","19.104","323.7","38.76","3057"
"Shadow Garchomp","Mud Shot","Earth Power","19.102","583.6","44.91","3962"
"Shadow Excadrill","Mud Slap","Earthquake","19.08","408.3","41.04","3244"
"Mega Garchomp","Mud Shot","Earthquake","19.076","796.9","48.5","5424"
"Shadow Entei","Fire Fang","Overheat","19.076","545.8","44.12","3473"
"Mega Heracross","Counter","Earthquake","19.073","645.8","46.01","4814"
"Mega Lucario","Counter","Shadow Ball","19.065","470.1","42.48","3826"
"Shadow Weavile","Snarl","Foul Play","19.061","383.4","40.37","3005"
"Kartana","Air Slash","Leaf Blade","19.058","401.2","40.82","3677"
"Shadow Darmanitan","Incinerate","Psychic","19.053","352.5","39.52","3105"
"Shadow Zapdos","Thunder Shock","Thunderbolt","19.049","489.1","42.88","3527"
"Shadow Dragonite","Dragon Tail","Dragon Pulse","19.042","525.4","43.64","3792"
"Mega Gardevoir","Charm","Shadow Ball","19.032","593","44.96","4512"
"Xurkitree","Spark","Power Whip","19.029","440.9","41.75","3937"
"Mega Mewtwo X","Psycho Cut","Flamethrower","19.02","655.9","46.09","5429"
"Primal Groudon","Dragon Tail","Fire Blast","19.004","869.6","49.43","5902"
"Primal Groudon","Dragon Tail","Fire Punch","18.998","869.3","49.41","5902"
"Shadow Charizard","Wing Attack","Blast Burn","18.971","414.6","41.02","2889"
"Shadow Luxray","Spark","Wild Charge","18.971","384.6","40.26","2888"
"Shadow Exeggutor","Confusion","Psychic","18.949","415.1","41","3014"
